id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,M_score,distance_center_km,R_value,R_score,F_score,Segment
40978967,Scala Hostel,319542532,Tatchai,Samphanthawong,13.73914,100.51216,Private room,1457,1,1,2022-07-24,0.19,1,49,1,3,5.191154389155281,157,1,1,Inactive
41057028,Triple Room near Ratchada Night Market FREE coffee,60194145,Ake,Wang Thong Lang,13.77723,100.60504,Private room,600,1,14,2022-12-19,0.38,3,350,8,1,6.028638855736286,9,1,4,At Risk
40980776,靠近機場捷運3分鐘走路。高級大樓公寓套房傢俱俱全位置優美，出入方便安全歡迎大家居住出入安全靠高速公路,314088970,Rapeepong,Suanluang,13.73932,100.60368,Entire home/apt,1200,2,1,2020-01-03,0.03,2,364,0,3,4.804107922919932,1090,5,1,Recent Visitors
40980894,曼谷体验试公寓，精品一居，乳胶枕，免费花园泳池健身房，近摩天轮夜市/湄南河/暹罗四面佛/曼谷精心攻略,51192901,Dylan,Sathon,13.71235,100.51921,Entire home/apt,2885,1,4,2020-02-12,0.11,14,0,0,5,5.714047834536279,1050,5,2,New Visitors
40989584,🏅️月租30%市中心Asoke15F全景落地窗大阳台50spm厨房洗衣房客厅/NANA/康明医院/,131270916,Magic,Ratchathewi,13.75098,100.55575,Entire home/apt,1585,29,4,2022-05-29,0.11,33,319,1,3,0.7417886167888422,213,1,2,At Risk
40992049,曼谷人家花园一居室，免费花园泳池健身房，码头直达摩天轮夜市、大皇宫、郑王庙，天铁直达暹罗、四面佛商圈,51192901,Dylan,Sathon,13.71054,100.52117,Entire home/apt,2885,5,3,2020-03-10,0.08,14,0,0,5,5.687473670310001,1023,5,2,New Visitors
40993256,【全新2人套房】隐藏于城市中心的秘密花园，近摩天轮夜市/暹罗四面佛商圈，漫步市井，体验曼谷人家生活,51192901,Dylan,Sathon,13.71244,100.51979,Entire home/apt,2885,1,3,2020-02-18,0.08,14,0,0,5,5.659652385288734,1044,5,2,New Visitors
40993620,New!  La Chada Night Market 1BR 2PPL near MRT,52161947,Noons,Huai Khwang,13.77267,100.57952,Entire home/apt,1057,1,8,2020-04-12,0.22,99,0,0,2,3.6903118249529725,990,5,3,New Visitors
40994289,New!  La Chada Night Market Studio 2PPL near MRT,52161947,Noons,Huai Khwang,13.77293,100.57986,Entire home/apt,1000,1,8,2020-09-18,0.22,99,0,0,2,3.7351007752178065,831,5,3,New Visitors
41067178,A Cosy & Relax suite,93977794,Apasiri,Khlong Toei,13.72447,100.56708,Private room,1800,1,1,2020-01-02,0.03,4,365,0,4,2.460190739217946,1091,5,1,Recent Visitors
41067621,Near Don Mueang Airport & IMPACT Arena (Free WIFI),296460330,RoomQuest,Don Mueang,13.93037,100.57282,Private room,770,1,2,2020-01-22,0.05,12,330,0,1,20.501704775474632,1071,5,1,Recent Visitors
41069237,30days! AirportLink Sukhumvit NANA MaxValu 2BR(4P),52161947,Noons,Ratchathewi,13.74923,100.55487,Entire home/apt,2527,3,20,2022-12-23,0.56,99,361,15,4,0.6663217712625894,5,1,4,At Risk
41069723,30days! Sukhumvit NANA spacious 2BR near  BTS  ARL,314945555,Nana,Ratchathewi,13.7511,100.55458,Entire home/apt,2527,3,18,2022-12-09,0.5,49,357,4,4,0.831267241414317,19,1,4,At Risk
40539273,Comfortable room close to public transport,34568484,Cherngtian,Chatu Chak,13.80208,100.56262,Entire home/apt,1000,7,1,2020-01-13,0.03,1,90,0,2,6.26681051395046,1080,5,1,Recent Visitors
40540912,Jintana Residence @Ari 07,289023695,Phisit,Phaya Thai,13.77436,100.53198,Private room,678,1,9,2020-03-03,0.24,11,57,0,1,4.380068871364791,1030,5,3,New Visitors
40542374,Living wirelessly in wireless,6598548,Amornsukh,Parthum Wan,13.74679,100.54898,Entire home/apt,1700,30,1,2022-08-02,0.2,16,272,1,4,1.169521498588901,148,1,1,Inactive
41157557,sukumvit24/BTS Phrom phong/T21&Emporium/sky pool~4,296659086,Summer,Khlong Toei,13.72739,100.56766,Entire home/apt,1919,2,2,2022-08-19,0.35,22,170,2,4,2.181023592155876,131,1,1,Inactive
41157602,曼谷素坤逸24豪华公寓/屋顶泳池/BTS彭蓬站.EM商场/T21商场 暹罗商圈四面佛/火车夜市7+,296659086,Summer,Khlong Toei,13.7253,100.56847,Entire home/apt,1799,2,12,2022-12-25,0.34,22,166,5,4,2.4280915662101674,3,1,3,At Risk
41157688,sukumvit24/BTS Phrom phong/T21&Emporium/sky pool~7,296659086,Summer,Khlong Toei,13.72711,100.56861,Entire home/apt,1842,2,1,2022-12-20,1.0,22,175,1,4,2.251484798483679,8,1,1,Inactive
41157727,sukumvit24/BTS Phrom phong/T21&Emporium/sky pool~6,296659086,Summer,Khlong Toei,13.72761,100.56753,Entire home/apt,2240,2,5,2022-12-16,0.14,22,174,4,4,2.153114876560686,12,1,2,At Risk
41001569,LittleCottage47-4 BR in Thai local style house,319850762,Teerapon,Suanluang,13.74416,100.64526,Entire home/apt,3400,1,16,2022-12-22,0.44,5,228,10,5,9.253188784061868,6,1,4,At Risk
41161538,bts onnut 酒店式公寓双床房 【开间】素坤逸50巷（1、2、7、9）,207453281,Hua,Khlong Toei,13.70362,100.59388,Entire home/apt,743,2,19,2022-12-10,0.55,20,115,11,1,5.927392445403179,18,1,4,At Risk
41070791,APPLE HOSTEL BANGKOK - JUNIOR ROOM,200920458,Việt Anh,Ratchathewi,13.75623,100.54266,Private room,900,1,1,2020-01-12,0.03,8,179,0,2,2.1928985612936347,1081,5,1,Recent Visitors
41003933,!!!OMG!!/4 mins to Train St./Train Market/火车头夜市,176686914,Bon,Huai Khwang,13.7606,100.56777,Entire home/apt,1433,4,27,2022-12-08,0.74,2,82,13,3,1.8833316350439187,20,1,4,At Risk
41071595,Cozy Studio Condo@ Ladprao/中文服务,292407038,Eugene,Chatu Chak,13.81447,100.56994,Entire home/apt,1028,1,28,2022-12-19,0.78,2,329,16,2,7.709443004252984,9,1,4,At Risk
41072514,Don Mueang Airport/ Near IMPACT Arena / Free WIFI,296460330,RoomQuest,Don Mueang,13.92952,100.57394,Private room,770,1,3,2020-02-06,0.08,12,365,0,1,20.41665186746173,1056,5,2,New Visitors
41072905,Long term stay+food/coffee shop&7-11 downstairs,158654054,Erica,Khlong Toei,13.7183,100.56985,Entire home/apt,1001,3,5,2022-11-16,0.15,27,341,4,2,3.20366649732088,42,1,2,At Risk
41074602,素坤逸50 酒店式公寓双床套房 bts onnut,207453281,Hua,Khlong Toei,13.70585,100.59992,Entire home/apt,843,2,5,2022-11-08,0.15,20,100,4,2,6.177629561796741,50,1,2,At Risk
41075801,16pax ENTIRE PLACE/Grand Palace-Khaosan/Massage,235444736,Anuttaka,Bang Phlat,13.77776,100.47819,Entire home/apt,3500,5,1,2022-12-11,1.0,3,74,1,5,9.511069785267741,17,1,1,Inactive
41080570,T1b ☆ Modern Room w/ Balcony☆upto 4 Boutique Hotel,287313056,Theme,Ratchathewi,13.75426,100.53709,Private room,2161,1,21,2022-11-13,0.58,12,342,8,4,2.6313928706191416,45,1,4,At Risk
41089313,LIKE HOME 2,52203058,Veerachai,Bang Rak,13.73075,100.51739,Private room,990,1,4,2022-11-21,0.11,7,184,2,2,4.860055358285745,37,1,2,At Risk
41005749,MRT(SUBWAY)_Huaikhwang walk 10sec / luxury Condo,316738753,Nanthana,Din Daeng,13.77709,100.57297,Entire home/apt,2149,3,9,2022-11-12,0.25,5,351,4,4,3.7767497871888738,46,1,3,At Risk
41010489,市中心Asok素坤逸步行5分钟高级公寓套房!四面佛10分钟直达!无边泳池GYM#CR,314945555,Nana,Khlong Toei,13.73549,100.55684,Entire home/apt,2314,1,40,2022-12-24,1.09,49,355,16,4,1.1511635520776422,4,1,5,At Risk
